curveID,date,taxon,temp_acclim,light_acclim,vpd_acclim,patm_acclim,co2_acclim,Photo,Tleaf,gsw,Ci,Qin,VPDleaf,CO2_r,patm,z,PPFD
5,20210316 15:17:58,BOOF,10,250,1000,,420,6.208670417,7.213266,0.252977885,365.5475039,600.0119333,0.77476573,419.9976667,,85,600
5,20210316 15:27:59,BOOF,10,250,1000,,420,7.203378805,8.88795129,0.241766493,354.9834994,599.981871,0.878666064,420.0033226,,85,600
5,20210316 15:37:59,BOOF,10,250,1000,,420,8.403878867,11.41688333,0.22605885,340.252555,600.0042333,1.057892146,420.0078,,85,600
5,20210316 15:48:01,BOOF,10,250,1000,,420,9.581281013,14.89721935,0.224801292,327.9192027,599.9918065,1.33358845,419.9734839,,85,600
5,20210316 15:58:02,BOOF,10,250,1000,,420,10.43862055,18.25079355,0.258816552,328.8658436,600.0214194,1.499063483,419.9441935,,85,600
5,20210316 16:08:03,BOOF,10,250,1000,,420,10.60184603,21.39843226,0.311100216,270.5031053,599.9827097,1.49495678,350.2735161,,85,600
5,20210316 16:20:28,BOOF,10,250,1000,,420,11.5980523,24.3817129,0.412023152,345.4595941,599.9774839,1.493696982,419.9595806,,85,600
5,20210316 16:30:28,BOOF,10,250,1000,,420,11.74132275,27.37577333,0.429352728,346.3886489,600.0284,1.529276544,420.2924667,,85,600
5,20210316 16:41:53,BOOF,10,250,1000,,420,11.25105635,29.17072903,0.916105735,365.4657486,600.0219677,1.814501578,420.0760323,,85,600
5,20210316 16:52:06,BOOF,10,250,1000,,420,11.18470859,30.55445806,0.688781926,358.3909883,599.998871,2.06056572,420.0445806,,85,600
6,20210317 09:59:43,HOVU,10,250,1000,,420,14.40634137,6.819346774,0.277920702,313.3433238,599.9924516,0.768649132,420.0022581,,85,600
6,20210317 10:09:44,HOVU,10,250,1000,,420,15.66251411,8.145675484,0.276731949,303.6960339,599.9792258,0.843603984,420.0213871,,85,600
6,20210317 10:19:44,HOVU,10,250,1000,,420,17.00267045,10.85732,0.256355028,285.3543427,600.0116667,1.029768778,419.9765667,,85,600
6,20210317 10:29:45,HOVU,10,250,1000,,420,17.86736401,13.81469,0.250971346,275.1465108,599.9887333,1.258126888,420.0171667,,85,600
6,20210317 10:39:45,HOVU,10,250,1000,,420,18.07513788,16.93679333,0.23463604,264.1324504,600.0098333,1.509325263,420.0149,,85,600
6,20210317 10:49:47,HOVU,10,250,1000,,420,17.86247044,20.52587,0.217027108,256.0503097,599.9886,1.514793833,419.9799333,,85,600
6,20210317 10:59:48,HOVU,10,250,1000,,420,17.54715079,24.10275161,0.216974903,258.6901297,599.9886452,1.51082933,419.9921935,,85,600
6,20210317 11:09:50,HOVU,10,250,1000,,420,17.54886501,26.55815161,0.249777602,273.9280252,600.0268065,1.724309711,420.022,,85,600
6,20210317 11:19:53,HOVU,10,250,1000,,420,16.32306512,29.43612258,0.239914096,275.8120176,599.9890323,2.208532329,419.9448065,,85,600
6,20210317 11:29:53,HOVU,10,250,1000,,420,14.82326512,31.4963129,0.198846768,264.8380751,599.9877097,2.688816745,420.0025161,,85,600
7,20210317 12:20:12,RASA,30,250,1000,,420,20.30692807,12.64776,1.892551723,373.8900089,600.0160667,0.733081233,420.1935667,,85,600
7,20210317 12:30:54,RASA,30,250,1000,,420,23.99810373,14.84611613,1.820005344,364.7228365,600.017129,0.858244754,419.9971613,,85,600
7,20210317 12:40:54,RASA,30,250,1000,,420,26.76035081,17.55993667,1.809074324,357.6875696,600.0231667,1.023343628,420.0190333,,85,600
7,20210317 12:50:55,RASA,30,250,1000,,420,28.06555283,20.55051613,1.717472522,351.7783251,599.9681935,1.255822747,420.0195161,,85,600
7,20210317 13:01:32,RASA,30,250,1000,,420,28.05011742,23.45418667,1.642938955,348.6623352,600.0099,1.480505826,420.0234333,,85,600
7,20210317 13:11:32,RASA,30,250,1000,,420,27.2927725,26.7321871,1.524589739,348.0310473,600.0127419,1.508904628,420.0090323,,85,600
7,20210317 13:21:33,RASA,30,250,1000,,420,25.84948158,29.7648,1.442677352,349.5574528,600.0046452,1.513725095,420.0162258,,85,600
7,20210317 13:31:33,RASA,30,250,1000,,420,24.47208372,32.02125333,1.45156828,350.7104818,599.9852333,1.718197035,419.9984,,85,600
7,20210317 13:41:42,RASA,30,250,1000,,420,23.08667177,33.5158129,1.432461755,350.4036938,599.9939677,2.045350767,420.0149355,,85,600
8,20210317 14:56:30,RASA,30,250,1000,,420,22.16595327,15.61118667,0.697574999,335.9668981,599.9987,1.214130786,420.0441333,,85,600
8,20210317 15:06:30,RASA,30,250,1000,,420,24.37196825,17.75658333,0.651498118,323.2561656,599.9710667,1.418156834,420.0018667,,85,600
8,20210317 15:16:31,RASA,30,250,1000,,420,25.46707759,20.76428387,0.628973217,316.6014145,599.9820323,1.507142955,419.9981613,,85,600
8,20210317 15:26:37,RASA,30,250,1000,,420,25.72739893,24.29928065,0.613909188,314.019341,599.9759355,1.508704507,419.9607742,,85,600
8,20210317 15:36:38,RASA,30,250,1000,,420,25.15071949,27.62028387,0.629943301,317.6194688,600.0064839,1.504324874,419.9063226,,85,600
8,20210317 15:46:41,RASA,30,250,1000,,420,24.34883526,30.53912333,0.683442704,325.1172682,599.9835,1.510548417,420.0584667,,85,600
8,20210317 15:56:42,RASA,30,250,1000,,420,23.21483215,33.23276774,0.723203626,329.8846313,600.0031613,1.743709156,420.038871,,85,600
8,20210317 16:07:04,RASA,30,250,1000,,420,22.43507881,35.25521613,0.927218047,337.7910999,599.9918065,2.310002924,420.0024839,,85,600
8,20210317 16:17:22,RASA,30,250,1000,,420,21.61105498,36.64561,1.052629702,340.6775689,599.9985333,2.692029835,420.0375667,,85,600
9,20210318 12:00:45,BOOF,30,250,1000,,420,7.072759092,16.47946452,0.639976826,379.6115448,599.9782903,1.008041457,420.0106452,,85,600
9,20210318 12:10:46,BOOF,30,250,1000,,420,7.507695916,17.90573548,0.650117832,377.1302849,599.9563871,1.097942576,420.0099355,,85,600
9,20210318 12:20:46,BOOF,30,250,1000,,420,7.949526726,20.43855806,0.64746881,373.3295808,599.9718387,1.290549442,420.0053226,,85,600
9,20210318 12:30:47,BOOF,30,250,1000,,420,8.198798822,23.39374194,0.646339168,370.1341656,599.9987097,1.509208975,420.0132903,,85,600
9,20210318 12:40:48,BOOF,30,250,1000,,420,8.214941081,26.60004333,0.647854307,369.9530146,599.9970667,1.513865424,419.9974,,85,600
9,20210318 12:50:58,BOOF,30,250,1000,,420,7.856703981,29.71280333,0.636071028,371.0328221,600.0357,1.518365916,419.9924333,,85,600
9,20210318 13:01:53,BOOF,30,250,1000,,420,7.306452876,32.53014667,0.610120184,371.5187026,599.9958,1.651796862,420.1049333,,85,600
9,20210318 13:12:11,BOOF,30,250,1000,,420,6.446650552,34.67604667,0.616402407,369.9615679,599.9897333,2.202273925,419.9848667,,85,600
9,20210318 13:22:12,BOOF,30,250,1000,,420,5.860674982,36.22557742,0.603258046,368.5248362,599.9880323,2.606403342,420.0974839,,85,600
10,20210318 14:22:02,BOOF,30,250,1000,,420,14.30048162,15.98535806,0.279253867,309.3708458,600.0242258,1.416640184,420.0305806,,85,600
10,20210318 14:32:03,BOOF,30,250,1000,,420,15.46766324,18.36716333,0.284301697,302.1821705,599.9756667,1.501665298,420.0408667,,85,600
10,20210318 14:42:03,BOOF,30,250,1000,,420,16.09148617,21.70080323,0.273939659,294.5095468,599.997129,1.507950723,420.0744194,,85,600
10,20210318 14:52:04,BOOF,30,250,1000,,420,16.190681,25.22863226,0.264089159,290.2485218,599.9983871,1.511493652,420.0374516,,85,600
10,20210318 15:02:09,BOOF,30,250,1000,,420,15.98780574,28.76806129,0.268041537,292.9777448,599.9908065,1.512501539,419.9807742,,85,600
10,20210318 15:12:10,BOOF,30,250,1000,,420,15.44326324,32.10556452,0.274165503,297.8019875,600.0007097,1.663957482,419.9875161,,85,600
10,20210318 15:22:11,BOOF,30,250,1000,,420,14.5709595,34.94560667,0.297119138,306.0608477,600.0112667,2.267761512,419.9894667,,85,600
10,20210318 15:32:57,BOOF,30,250,1000,,420,14.12569568,37.07261613,0.386011503,321.1419662,599.9791935,2.851511327,419.9403871,,85,600
10,20210318 15:42:57,BOOF,30,250,1000,,420,12.71495913,39.19635333,0.320090611,314.6741378,599.9889333,3.404986908,419.9845333,,85,600
11,20210319 11:41:13,HOVU,30,250,1000,,420,8.148315921,16.01739677,0.179645958,325.3642479,599.9956774,1.461824246,420.1634839,,85,600
11,20210319 11:51:19,HOVU,30,250,1000,,420,9.398413366,18.66691,0.215175006,325.3000837,600.0104,1.495940995,419.7691667,,85,600
11,20210319 12:01:35,HOVU,30,250,1000,,420,11.05573584,21.86103333,0.251788689,322.558757,599.997,1.503060395,420.1846667,,85,600
11,20210319 12:11:56,HOVU,30,250,1000,,420,11.97109293,25.18248065,0.284971209,323.7254277,599.9966452,1.510350542,420.0247742,,85,600
11,20210319 12:22:10,HOVU,30,250,1000,,420,12.77381586,28.4947,0.301632329,321.8304578,599.9882903,1.514897615,420.0650645,,85,600
11,20210319 12:32:16,HOVU,30,250,1000,,420,12.99509828,31.68525667,0.311190659,321.5100494,599.9993,1.599708735,419.9159333,,85,600
11,20210319 12:42:45,HOVU,30,250,1000,,420,12.58007452,34.57726129,0.292595958,315.7500363,600.0022581,2.221992245,419.9581613,,85,600
